,state,date,R,CI_lower,CI_upper
264,Himachal Pradesh,6/17/20,,,
265,Himachal Pradesh,6/18/20,,,
266,Tripura,4/6/20,,,
267,Tripura,4/10/20,,,
268,Tripura,4/30/20,,,
269,Tripura,5/2/20,,,
270,Tripura,5/3/20,1.245544934,0.295063398,2.19602647
271,Tripura,5/4/20,1.391988868,0.96211171,1.821866026
272,Tripura,5/5/20,3.926787635,3.508082372,4.345492899
273,Tripura,5/6/20,3.437916627,2.605131001,4.270702253
274,Tripura,5/7/20,1.956193729,1.162511118,2.749876339
275,Tripura,5/8/20,2.142800261,1.853683574,2.431916947
276,Tripura,5/9/20,1.534567086,0.925319571,2.143814601
277,Tripura,5/10/20,0.564738843,0.544053051,0.585424636
278,Tripura,5/12/20,0,0,0
279,Tripura,5/13/20,0,0,0
280,Tripura,5/14/20,,,
281,Tripura,5/15/20,,,
282,Tripura,5/16/20,,,
283,Tripura,5/17/20,,,
284,Tripura,5/18/20,,,
285,Tripura,5/19/20,,,
286,Tripura,5/21/20,,,
287,Tripura,5/22/20,,,
288,Tripura,5/23/20,,,
289,Tripura,5/24/20,,,
290,Tripura,5/25/20,,,
291,Tripura,5/26/20,,,
292,Tripura,5/27/20,,,
293,Tripura,5/28/20,,,
294,Tripura,5/29/20,,,
295,Tripura,5/30/20,,,
296,Tripura,5/31/20,,,
297,Tripura,6/1/20,,,
298,Tripura,6/2/20,4.538242139,3.633200075,5.443284204
299,Tripura,6/3/20,2.88964951,2.761973648,3.017325371
300,Tripura,6/4/20,0,0,0
301,Tripura,6/5/20,0,0,0
302,Tripura,6/6/20,0,0,0
303,Tripura,6/7/20,0,0,0
304,Tripura,6/8/20,1.287112086,0.288477376,2.285746797
305,Tripura,6/9/20,0.554843389,0.070987033,1.038699744
306,Tripura,6/10/20,,,
307,Tripura,6/11/20,,,
308,Tripura,6/12/20,,,
309,Tripura,6/13/20,,,
310,Tripura,6/14/20,,,
311,Tripura,6/15/20,,,
312,Tripura,6/16/20,,,
313,Tripura,6/17/20,,,
314,Tripura,6/18/20,,,
315,Sikkim,5/23/20,,,
316,Sikkim,6/3/20,,,
317,Sikkim,6/5/20,,,
318,Sikkim,6/6/20,,,
319,Sikkim,6/9/20,,,
320,Sikkim,6/12/20,,,
321,Sikkim,6/13/20,,,
322,Sikkim,6/14/20,,,
323,Sikkim,6/17/20,0,0,0
324,Sikkim,6/18/20,,,
325,Bihar,3/22/20,,,
326,Bihar,3/23/20,,,
327,Bihar,3/25/20,,,
328,Bihar,3/26/20,,,
329,Bihar,3/27/20,,,
330,Bihar,3/28/20,1.870413132,0.922514278,2.818311986
331,Bihar,3/29/20,2.183561807,1.225527247,3.141596368
332,Bihar,3/31/20,1.925205714,1.167107906,2.683303523
333,Bihar,4/1/20,1.736840137,1.553886139,1.919794135
334,Bihar,4/2/20,1.609639051,0.652278034,2.567000067
335,Bihar,4/3/20,0.446263501,0.432605148,0.459921854
336,Bihar,4/4/20,0,0,0
337,Bihar,4/7/20,1.302639775,1.284377723,1.320901828
338,Bihar,4/8/20,0.661899208,0,1.323798415
339,Bihar,4/9/20,2.391747339,1.42665955,3.356835129
340,Bihar,4/10/20,2.11101701,1.748615701,2.473418319
341,Bihar,4/11/20,0.941108482,0.135008012,1.747208952
342,Bihar,4/13/20,0.78982817,0.74834724,0.831309101
343,Bihar,4/15/20,0.45388681,0.335063496,0.572710123
344,Bihar,4/16/20,2.139456633,1.977892369,2.301020898
345,Bihar,4/17/20,1.221996532,1.019167543,1.424825521
346,Bihar,4/18/20,0.303086483,0,0.606172966
347,Bihar,4/19/20,0.311877987,0,0.623755975
348,Bihar,4/20/20,2.240037027,2.157075846,2.322998209
349,Bihar,4/21/20,4.288408849,3.703586457,4.87323124
350,Bihar,4/22/20,3.964395476,3.329978436,4.598812517
351,Bihar,4/23/20,1.993251773,1.660089706,2.32641384
352,Bihar,4/24/20,2.502522324,2.248212629,2.756832019
353,Bihar,4/25/20,2.335794437,1.563436575,3.1081523
354,Bihar,4/26/20,1.443067016,0.788879689,2.097254343
355,Bihar,4/27/20,1.582171951,0.753036751,2.411307151
356,Bihar,4/28/20,0,0,0
357,Bihar,4/29/20,0.892118458,0.848736188,0.935500729
358,Bihar,4/30/20,0,0,0
359,Bihar,5/1/20,0,0,0
360,Bihar,5/2/20,,,
361,Bihar,5/3/20,,,
362,Bihar,5/4/20,,,
363,Bihar,5/5/20,,,
364,Bihar,5/6/20,,,
365,Bihar,5/7/20,,,
366,Bihar,5/8/20,,,
367,Bihar,5/9/20,,,
368,Bihar,5/10/20,,,
369,Bihar,5/11/20,,,
370,Bihar,5/12/20,,,
371,Bihar,5/13/20,1.824733657,1.658214185,1.991253129
372,Bihar,5/14/20,0.996235724,0.203088858,1.78938259
373,Bihar,5/15/20,,,
374,Bihar,5/16/20,,,
375,Bihar,5/17/20,,,
376,Bihar,5/18/20,,,
377,Bihar,5/19/20,0.401774651,0,0.803549303
378,Bihar,5/20/20,1.390078727,0.398693431,2.381464023
379,Bihar,5/21/20,1.983700082,1.810623042,2.156777122
380,Bihar,5/22/20,3.319245806,2.614759997,4.023731614
381,Bihar,5/23/20,2.838665453,2.027984333,3.649346573
382,Bihar,5/24/20,0.851631461,0.019322627,1.683940295
383,Bihar,5/25/20,0,0,0
384,Bihar,5/26/20,0,0,0
385,Bihar,5/27/20,,,
386,Bihar,5/28/20,,,
387,Bihar,5/29/20,,,
388,Bihar,5/30/20,,,
389,Bihar,5/31/20,3.095032241,2.808169161,3.381895322
390,Bihar,6/1/20,,,
391,Bihar,6/2/20,,,
392,Bihar,6/3/20,,,
393,Bihar,6/4/20,,,
394,Bihar,6/5/20,0,0,0
395,Bihar,6/6/20,2.168571289,1.341768566,2.995374012
396,Bihar,6/7/20,4.440756257,3.85362477,5.027887744
397,Bihar,6/8/20,2.07286913,1.440465693,2.705272566
398,Bihar,6/9/20,0.336411551,0,0.672823101
399,Bihar,6/10/20,0,0,0
400,Bihar,6/11/20,0.760438268,0.590307625,0.930568911
401,Bihar,6/12/20,,,
402,Bihar,6/13/20,,,
403,Bihar,6/14/20,,,
404,Bihar,6/15/20,,,
405,Bihar,6/16/20,,,
406,Bihar,6/17/20,,,
407,Bihar,6/18/20,,,
408,Tamil Nadu,3/7/20,,,
409,Tamil Nadu,3/18/20,,,
410,Tamil Nadu,3/21/20,,,
411,Tamil Nadu,3/22/20,,,
412,Tamil Nadu,3/23/20,1.887466661,1.302132165,2.472801156
413,Tamil Nadu,3/24/20,2.191251491,1.52650424,2.855998742
414,Tamil Nadu,3/25/20,2.039720771,1.394293832,2.68514771
415,Tamil Nadu,3/26/20,1.549306144,0.83355466,2.265057629
416,Tamil Nadu,3/27/20,2.262864322,2.193630439,2.332098206
417,Tamil Nadu,3/28/20,0.562265631,0.535881783,0.58864948
418,Tamil Nadu,3/29/20,0.594534892,0.530586279,0.658483505
419,Tamil Nadu,3/30/20,2.276455689,1.300711049,3.25220033
420,Tamil Nadu,3/31/20,3.607766703,2.671532413,4.544000992
421,Tamil Nadu,4/1/20,5.93024653,5.499308769,6.361184292
422,Tamil Nadu,4/2/20,4.864827263,4.325481679,5.404172848
423,Tamil Nadu,4/3/20,2.928977892,2.784427532,3.073528252
424,Tamil Nadu,4/4/20,1.223260049,0.739177866,1.707342233
425,Tamil Nadu,4/5/20,0.74715542,0.389342661,1.10496818
426,Tamil Nadu,4/6/20,0.425840524,0,0.851681049
427,Tamil Nadu,4/7/20,0.371421843,0.252810612,0.490033074
428,Tamil Nadu,4/8/20,0.457015522,0,0.914031044
429,Tamil Nadu,4/9/20,1.131280702,0.893962571,1.368598834
430,Tamil Nadu,4/10/20,1.680284869,1.608336133,1.752233605
431,Tamil Nadu,4/11/20,1.062638711,0.811690889,1.313586534
432,Tamil Nadu,4/12/20,1.540285493,1.088324236,1.992246749
433,Tamil Nadu,4/13/20,1.180436123,0.533578998,1.827293249
434,Tamil Nadu,4/14/20,0.352444017,0,0.704888033
435,Tamil Nadu,4/15/20,0,0,0
436,Tamil Nadu,4/16/20,0,0,0
437,Tamil Nadu,4/17/20,0.332828522,0.288290016,0.377367029
438,Tamil Nadu,4/18/20,1.651715859,1.454171612,1.849260106
439,Tamil Nadu,4/19/20,2.352846427,2.050814689,2.654878165
440,Tamil Nadu,4/20/20,1.856628621,1.499449701,2.21380754
441,Tamil Nadu,4/21/20,1.240071558,0.918579704,1.561563412
442,Tamil Nadu,4/22/20,0.443073758,0.192542391,0.693605126
443,Tamil Nadu,4/23/20,0.202677419,0,0.405354839
444,Tamil Nadu,4/24/20,1.344591356,1.277629902,1.411552811
445,Tamil Nadu,4/25/20,1.249000681,0.551669529,1.946331832
446,Tamil Nadu,4/26/20,1.76271087,1.469423106,2.055998634
447,Tamil Nadu,4/27/20,,,
448,Tamil Nadu,4/28/20,,,
449,Tamil Nadu,4/29/20,,,
450,Tamil Nadu,4/30/20,,,
451,Tamil Nadu,5/1/20,3.07716407,2.529236548,3.625091592
452,Tamil Nadu,5/2/20,3.114390166,2.891377432,3.3374029
453,Tamil Nadu,5/3/20,3.717176289,3.459551311,3.974801266
454,Tamil Nadu,5/4/20,2.69305698,2.111852008,3.274261952
455,Tamil Nadu,5/5/20,2.518208444,2.059716734,2.976700155
456,Tamil Nadu,5/6/20,2.620056512,1.686519026,3.553593998
457,Tamil Nadu,5/7/20,2.078182734,1.340286133,2.816079334
458,Tamil Nadu,5/8/20,1.203471441,0.370696201,2.036246682
459,Tamil Nadu,5/9/20,0.49283347,0.14684298,0.83882396
460,Tamil Nadu,5/10/20,0.375460198,0,0.750920396
461,Tamil Nadu,5/11/20,1.239154758,0.243564552,2.234744964
462,Tamil Nadu,5/12/20,1.54732313,1.340051447,1.754594813
463,Tamil Nadu,5/13/20,1.495795706,0.951823003,2.039768409
464,Tamil Nadu,5/14/20,0.688172071,0.654388236,0.721955905
465,Tamil Nadu,5/15/20,0,0,0
466,Tamil Nadu,5/16/20,,,
467,Tamil Nadu,5/17/20,,,
468,Tamil Nadu,5/18/20,,,
469,Tamil Nadu,5/19/20,,,
470,Tamil Nadu,5/20/20,,,
471,Tamil Nadu,5/21/20,,,
472,Tamil Nadu,5/22/20,,,
473,Tamil Nadu,5/23/20,,,
474,Tamil Nadu,5/24/20,,,
475,Tamil Nadu,5/25/20,,,
476,Tamil Nadu,5/26/20,,,
477,Tamil Nadu,5/27/20,,,
478,Tamil Nadu,5/28/20,1.01125889,0.712304503,1.310213278
479,Tamil Nadu,5/29/20,0.555602368,0.485875384,0.625329353
480,Tamil Nadu,5/30/20,2.5969423,2.335776397,2.858108204
481,Tamil Nadu,5/31/20,1.353530327,0.447122557,2.259938097
482,Tamil Nadu,6/1/20,3.099642839,2.427151225,3.772134453
483,Tamil Nadu,6/2/20,3.241438622,3.032258059,3.450619186
484,Tamil Nadu,6/3/20,2.181894861,1.875063299,2.488726424
485,Tamil Nadu,6/4/20,1.830466541,1.048051205,2.612881877
486,Tamil Nadu,6/5/20,0.994164192,0.810153018,1.178175366
487,Tamil Nadu,6/6/20,1.434447377,0.628096379,2.240798375
488,Tamil Nadu,6/7/20,1.288105421,0.938258501,1.637952342
489,Tamil Nadu,6/8/20,1.339587672,0.965368314,1.713807029
490,Tamil Nadu,6/9/20,1.517544596,0.684370676,2.350718517
491,Tamil Nadu,6/10/20,0.990068733,0.263449476,1.716687989
